

-- Schedd: bird-htc-sched13.desy.de : <131.169.223.41:9618?... @ 05/11/21 20:14:54
 ID      OWNER          HELD_SINCE  HOLD_REASON

Total for query: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for anstein: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for all users: 4320 jobs; 0 completed, 2 removed, 3023 idle, 1003 running, 292 held, 0 suspended



-- Schedd: bird-htc-sched14.desy.de : <131.169.223.42:9618?... @ 05/11/21 20:14:54
 ID           OWNER          HELD_SINCE  HOLD_REASON
20343691.2450 anstein         5/11 19:11 Memory usage too high (> 3 x requested-memory)
20343691.2611 anstein         5/11 19:07 Memory usage too high (> 3 x requested-memory)
20343691.2659 anstein         5/11 19:08 Memory usage too high (> 3 x requested-memory)
20343691.2693 anstein         5/11 19:07 Memory usage too high (> 3 x requested-memory)
20343691.2704 anstein         5/11 19:07 Memory usage too high (> 3 x requested-memory)
20343691.3708 anstein         5/11 19:15 Memory usage too high (> 3 x requested-memory)
20343691.3779 anstein         5/11 19:14 The job attribute OnExitHold expression '(ExitBySignal == true) || (ExitCode != 0)' evaluated to TRUE
20343691.3782 anstein         5/11 19:12 The job attribute OnExitHold expression '(ExitBySignal == true) || (ExitCode != 0)' evaluated to TRUE
20343691.4028 anstein         5/11 19:54 Error from slot2_9@bird533.desy.de: STARTER at 131.169.77.15 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4028.out: (errno 27) File too large
20343691.4301 anstein         5/11 20:00 Error from slot2_6@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4301.out: (errno 27) File too large
20343691.4355 anstein         5/11 20:04 Error from slot2_15@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4355.out: (errno 27) File too large
20343691.5206 anstein         5/11 19:27 Memory usage too high (> 3 x requested-memory)
20343691.5239 anstein         5/11 19:32 Memory usage too high (> 3 x requested-memory)
20343691.5296 anstein         5/11 19:38 Memory usage too high (> 3 x requested-memory)
20343691.5326 anstein         5/11 19:28 Memory usage too high (> 3 x requested-memory)
20343691.5339 anstein         5/11 19:28 Memory usage too high (> 3 x requested-memory)
20343691.5387 anstein         5/11 19:29 Memory usage too high (> 3 x requested-memory)
20343691.5412 anstein         5/11 19:59 Error from slot2_9@bird565.desy.de: STARTER at 131.169.77.47 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5412.out: (errno 27) File too large
20343691.5528 anstein         5/11 19:56 Error from slot2_3@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5528.out: (errno 27) File too large
20343691.5581 anstein         5/11 19:52 Error from slot2_15@bird577.desy.de: STARTER at 131.169.77.59 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5581.out: (errno 27) File too large
20343691.5586 anstein         5/11 20:05 Error from slot2_4@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5586.out: (errno 27) File too large
20343691.5591 anstein         5/11 20:04 Error from slot2_7@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5591.out: (errno 27) File too large
20343691.5592 anstein         5/11 20:02 Error from slot2_8@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5592.out: (errno 27) File too large
20343691.5593 anstein         5/11 20:05 Error from slot2_13@bird658.desy.de: STARTER at 131.169.77.178 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5593.out: (errno 27) File too large
20343691.5675 anstein         5/11 19:30 Memory usage too high (> 3 x requested-memory)
20343691.5703 anstein         5/11 19:38 Memory usage too high (> 3 x requested-memory)
20343691.5720 anstein         5/11 19:55 Error from slot2_15@bird523.desy.de: STARTER at 131.169.77.5 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5720.out: (errno 27) File too large
20343691.5729 anstein         5/11 19:54 Error from slot2_5@bird523.desy.de: STARTER at 131.169.77.5 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5729.out: (errno 27) File too large
